Sigla,Nome do evento,Sociedade
PSB,Pacific Symposium on Biocomputing,
PSCC,Power Systems Computation Conference,
PST,"International Conference on Privacy, Security and Trust",
Q2SWinet,ACM Symposium on QoS and Security for Wireless and Mobile Networks,
QoMEX,International Workshop on Quality of Multimedia Experience,
QUATIC,International Conference on Quality of Information and Communications Technology,
RADECS,European Conference on Radiation and its Effects on Components and Systems,
RAHA,IEEE Internacional Conference on Robotics and Automation for Humanitarian Applications,
RAID,"International Symposium on Research in Attacks, Intrusions, and Defenses",
RANLP,International Conference on Recent Advances in Natural Language Processing,
RCAR,IEEE International Conference on Real-time Computing and Robotics,
RCIS,International Conference on Research Challenges in Information Science,
RE,IEEE International Requirements Engineering Conference,
REBLS,Workshop on Reactive and Event-Based Languages and Systems,
RECOMB,International Conference on Research in Computational Molecular Biology,
RECONFIG,International Conference on Reconfigurable Computing and FPGAs,
RECOSOC,International Symposium on Reconfigurable Communication-centric Systems-on-Chip,
RECSYS,ACM Conference on Recommender Systems,
REFSQ,International Working Conference on Requirements Engineering: Foundations for Software Quality,
RICE,International Conference on Research in Intelligent and Computing in Engineering,
RITA,International Conference on Robot Intelligence Technology and Applications,
RO-MAN,IEEE International Symposium on Robot and Human Interactive Communication,
ROBIO,IEEE International Conference on Robotics and Biomimetics,
ROBOCUP,Robocup International Symposium,
RoboSoft,IEEE International Conference on Soft Robotics,
ROBOT,Iberian Robotics Conference,
RoMoCo,International Workshop on Robot Motion and Control,
ROOTS,Reversing and Offensive-Oriented Trends Symposium,
ROSE,IEEE International Symposium on Robotic and Sensors Environments,
RSP,IEEE International Symposium on Rapid System Prototyping,
RSS,Robotics: Science and Systems,
RTAS,IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM,
RTCSA,International Conference on Embedded and Real-Time Computing Systems and Applications,
RTIS,International Conference on Real Time Intelligent Systems,
RTSS,Real-Time Systems Symposium,
RuleML+RR,International Joint Conference on Rules and Reasoning,
S&P,IEEE Symposium on Security and Privacy,
SAC,ACM Symposium on Applied Computing,
SACI,IEEE International Symposium on Applied Computational Intelligence and Informatics,
SACMAT,ACM Symposium on Access Control Models and Technologies,
SACRYPT,Workshop on Selected Areas in Cryptography,
SAFECOMP,"International Conference on Computer Safety, Reliability, and Security",
SAMOS,"International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",
SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",
SARNOFF,IEEE Sarnoff Symposium,
SAS,IEEE Sensors Applications Symposium,
SAST,Brazilian Symposium on Systematic and Automated Software Testing,
SAT,International Conference on Theory and Applications of Satisfiability Testing,
SBAC-PAD,International Symposium on Computer Architecture and High Performance Computing,
SBACPADW,International Symposium on Computer Architecture and High Performance Computing Workshop,
SBAI,Simpósio Brasileiro de Automação Inteligente,
SBBD,Simpósio Brasileiro de Banco de Dados,
SBCARS,"Brazilian Symposium on Components, Architectures and Reuse Software",
SBCAS,Simpósio Brasileiro de Computação Aplicada à Saúde,
SBCCI,Symposium on Integrated Circuits and Systems Design,
SBCM,Simpósio Brasileiro de Computação Musical,
SBCUP,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,
SBES,Brazilian Symposium on Software Engineering,
SBESC,Brazilian Symposium on Computing Systems Engineering,
SBGAMES,Simpósio Brasileiro de Jogos e Entretenimento Digital,
SBIAGRO,Congresso Brasileiro de Agroinformática,
SBIE,Simpósio Brasileiro de Informática na Educação,
SBLP,Brazilian Symposium on Programming Languages,
SBMF,Brazilian Symposium on Formal Methods,
SBMICRO,Symposium on Microelectronics Technology and Devices,
SBPO,Simpósio Brasileiro de Pesquisa Operacional,SOBRAPO
SBQS,Simpósio Brasileiro de Qualidade de Software,
SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,
SBrT,Simpósio Brasileiro de Telecomunicações e Processamento de Sinais,
SBSC,Simpósio Brasileiro de Sistemas Colaborativos,
SBSeg,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,
SBSI,Simpósio Brasileiro de Sistemas de Informação,
SBSR,Simpósio Brasileiro de Sensoriamento Remoto,
SBTI,Simpósio Brasileiro de Tecnologia da Informação,
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis",
SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,
SCCTSA,"International Workshop on Smart City Clouds: Technologies, Systems and Applications",
SciVis,IEEE Scientific Visualization,
SCOPES,Software and Compilers for Embedded Systems,
SDM,SIAM International Conference on Data Mining,
SDPC,"International Conference on Sensing, Diagnostics, Prognostics, and Control",
SDS,International Conference on Software Defined Systems,
SE4Science,International Workshop on Software Engineering for Science,
SEA,International Symposium on Experimental Algorithms,
SEAA,Euromicro Conference on Software Engineering and Advanced Applications,
SeAC,Workshop on Self-Aware Computing,
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,
SEC,International Conference on ICT Systems Security and Privacy Protection,
SeCoGis,International Workshop on Semantic and Conceptual Issues in Geographic Information Systems,
SECON,"IEEE International Conference on Sensing, Communication and Networking",
SECRYPT,International Conference on Security and Cryptography,
SEFM,International Conference on Software Engineering and Formal Methods,
SEGAH,International Conference on Serious Games and Applications for Health,
SEKE,International Conference on Software Engineering and Knowledge Engineering,
SEMEVAL,International Workshop on Semantic Evaluation,
SEMISH,Seminário Integrado de Software e Hardware,
SENSORNETS,International Conference on Sensor Networks,
SenSys,ACM Conference on Embedded Network Sensor Systems,
SEPLN,CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING,
SERA,"Software Engineering Research, Management and Applications",
SERIAL,Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers,
SERP4IoT,International Workshop on Software Engineering Research & Practices for the Internet of Things,
SERVICES,IEEE World Congress on Services,
SESoS,International Workshop on Software Engineering for Systems-of-Systems,
SeWeBMeDA,Workshop on Semantic Web Solutions for Large-Scale Biomedical,
SGP,Eurographics Symposium on Geometry Processing,
SIBGRAPI,"Conference on Graphics, Patterns and Images",
SIES,International Symposium on Industrial Embedded Systems,
SIGCOMM,ACM SIGCOMM Conference,
SIGCSE,ACM Technical Symposium on Computer Science Education,
SIGDIAL,Annual Meeting of the Special Interest Group on Discourse and Dialogue,
SIGDOC,ACM International Conference on Design of Communication,
SIGGRAPH,International Conference and Exibition on Computer Graphics and Interactive Techniques,
SIGGRAPH Asia,ACM International Conference On Computer Graphics & Interactive Techniques / Asia,
SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,
SIGIReCom,SIGIR Workshop on eCommerce,
SIGKDD,ACM International Conference on Knowledge Discovery and Data Mining,
SIGMOD,ACM Conference on Management of Data,
SIGSE,ACM Technical Symposium on Computer Science Education,
SIGSPATIAL,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,
SII,IEEE/SICE International Symposium on System Integration,
SIIE,Simpósio Internacional de Informática Educatica,
SIMBig,Annual International Symposium on Information Management and Big Data,
SIMPAR,"IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots",
SIMPDA,International Sysmposium on Data-Driven Process Discovery and Analysis,
SIMULTECH,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications",
SIoT,International Workshop on Secure Internet of Things,
SISAP,nternational Conference on Similarity Search and Applications,
SLATE,"Symposium on Languages, Applications and Technologies",
SLE,ACM SIGPLAN International Conference on Software Language Engineering,
SLERD,Conference on Smart Learning Ecosystems and Regional Development,
SMARTCOMP,International Conference on Smart Computing,
SMARTGREENS,International Conference on Smart Grids and Green ICT Systems,
SMARTGRIDCOMM,IEEE International Conference on Smart Grid Communications,
SMC,"IEEE International Conference on Systems, Man and Cybernetics",
SMusC,Sound and Music Computing Conference,
SNAA,Workshop on Social Network Analysis in Applications,
SOCA,IEEE Conference on Service-Oriented Computing and Applications,
SOCC,IEEE International System-on-Chip Conference,
SoCG,International Symposium on Computational Geometry,
SOCIALCOM,International Conference on Social Computing,
SOCINFO,International Conference on Social Informatics,
SoCPaR,International Conference on Soft Computing and Pattern Recognition,
SODA,ACM-SIAM Symposium on Discrete Algorithms,
SOFSEM,International Conference on Current Trends in Theory and Practice of Computer Science,
SOFTCOM,"International Conference on Software, Telecommunications and Computer Networks",
SOFTENG-IARIA,IARIA International Conference on Advances and Trends in Software Engineering,
SoftStart,International Workshop on Software Engineering for Startups,
SORT,IEEE Workshop on Self-Organizing Real-Time Systems,
SOSE,IEEE International Symposium on Service-Oriented System Engineering,
SoSEC,IEEE Annual System of Systems Engineering Conference,
SOSP,ACM Symposium on Operating Systems Principles,
SOSR,Symposium on Software Defined Networking Research,
SOUPS,Symposium On Usable Privacy and Security,
SoWeMi,International Workshop on Mining the Social Web,
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,
SpaCCS,"International Conference on Security, Privacy and Anonymity in Computation, Communication and Storage",
SPACE,"International Conference on Security, Privacy, and Applied Cryptography Engineering",
SpatialBigData,Spatial Big Data and Machine Learning in GIScience,
SpatialGems,ACM SIGSPATIAL International Workshop on Spatial Gems,
SPIRE,International Symposium on String Processing and Information Retrieval,
SPLASH,"ACM SIGPLAN Conference on Systems, Programming, Languages, and Applications: Software for Humanity",
SPLC,International Software Product Line Conference,
SPM,"International Conference on Signal, Image Processing and Multimedia",
SpringSim,Spring Simulation Conference,
SRDS,IEEE Symposium on Reliable Distributed Systems,
SSBSE,International Symposium on Search Based Software Engineering,
SSCC,International Symposium on Security in Computing and Communications,
SSCI,IEEE Symposium Series on Computational Intelligence,
SSDBM,International Conference on Scientific and Statistical Database Management,
SSIAI,Southwest Symposium on Image Analysis and Interpretation,
SSPR,International Workshop on Structural and Syntactic Pattern Recognition,
SSRR,"International Symposium on Safety, Security and Rescue Robotics",
SSTD,International Symposium on Spatial and Temporal Databases,
STACS,Symposium on Theoretical Aspects of Computer Science,
STIL,Brazilian Symposium in Information and Human Language Technology,
STOC,ACM Symposium on Theory of Computing,SBC CE-ACO Top10 2024
SUGARLOAFPLOP,Latin American Conference on Pattern Languages of Programs,
SUI,Symposium on Spatial User Interaction,
SUM,International Conference on Scalable Uncertainty Management,
SustainIT,Conference on Sustainable Internet and ICT for Sustainability,
SVR,Symposium on Virtual and Augmented Reality,
SWAT,Scandinavian Workshop on Algorithm Theory,
SWQD,Conference Software Quality Days,
SYSCON,IEEE International Systems Conference,
SYSTOL,Conference on Control and Fault-Tolerant Systems,
TABLEAUX,International Conference on Automated Reasoning with Analytic Tableaux and Related Methods,
TAC,Text Analysis Conference,
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,
TAPAS,Workshop on Tools for Automatic Program Analysis,
TAROS,Conference Towards Autonomous Robotics Systems,
TASE,Theoretical Aspects of Software Engineering,
TCC,Theory of Cryptography,
TechDebt,International Conference on Technical Debt,
TEEM,Technological Ecosystems for Enhancing Multiculturality,
TEI,"International Conference on Tangible, Embedded and Embodied Interaction",
TextGraphs,Workshop on Graph-based Methods for Natural Language Processing,
TIMBRE,Interdisciplinary Workshop on Timbre,
TISE,Congreso Internacional de Informática Educativa,
TPDL,International Conference on Theory and Practice of Digital Libraries,
TREC,Text Retrieval Conference,
TRUST,International Workshop on Trust in Agent societies,
TRUSTCOM,"International Conference on Trust, Security and Privacy in Computing and Communications",
TSD,"International Conference on Text, Speech and Dialogue",
TVX,ACM International Conference on Interactive Experiences for TV and Online Video,
UAI,Conference on Uncertainty in Artificial Intelligence,
UBICOMM-IARIA,"IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",
UbiComp,ACM International Joint Conference on Pervasive and Ubiquitous Computing,
UBIMUS,Workshop de Música Ubíqua,
UCAMI,International Conference on Ubiquitous Computing and Ambient Intelligence,
UCC,IEEE/ACM International Conference on Utility and Cloud Computing,
UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,
UIST,ACM User Interface Software Technology Symposium,
UKSIM,International Conference on Computer Modelling and Simulation,
UMAP,"International Conference on User Modeling, Adaptation and Personalization",
UNET,International Symposium on Ubiquitous Networking,
UNIF,International Workshop on Unification,
UR,International Conference on Ubiquitous Robots and Ambient Intelligence,
USENIX Security,USENIX Security Symposium,
USIHC,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador,
UTP,International Symposium on Unifying Theories of Programming,
VALUETOOLS,EAI International Conference on Performance Evaluation Methodologies and Tools,
VAMOS,International Workshop on Variability Modelling of Software-intensive Systems,
VarDial,"Workshop on NLP for Similar Languages, Varieties and Dialects",
VAST,IEEE Conference on Visual Analytics Science and Technology,
VCIP,IEEE International Conference on Visual Communications and Image Processing,
VECIMS/CIVEMSA,IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems,
VECPAR,International Meeting on High Performance Computing for Computational Science,
VEE,International Conference on Virtual Execution Environments,
VEM,"Workshop on Software Visualization, Evolution and Maintenance",
Videojogos,Conference on Videogame Sciences and Arts,
VISAPP,International Conference on Computer Vision Theory and Applications,
VISIGRAPP,"Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",
VISSOFT,IEEE Working Conference on Software Visualization,
VLDB,International Conference on Very Large Data Bases,
VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,
VLSI,International Conference on Very Large Scale Integration,
VLSI-DAT,"International Symposium on VLSI Design, Automation and Test",
VLSI-SOC,IEEE/IFIP International Conference on VLSI and System-on-Chip,
VLSID,International Conference on VLSI Design,
VMV,"Vision, Modeling & Visualization",
VNC,IEEE Vehicular Networking Conference,
VOILA,Visualization and Interaction for Ontologies and Linked Data,
VR,IEEE Virtual Reality Conference,
VRCAI,International Conference on Virtual Reality Continuum and its Applications,
VRST,ACM Symposium on Virtual Reality Software and Technology,
VS-Games,International Conference on Virtual Worlds and Games for Serious Applications,
VSMM,International Conference on Virtual Systems and MultiMedia,
VTC,Vehicular Technology Conference,
VTS,IEEE VLSI Test Symposium,
W2GIS,International Symposium Web and Wireless Geographical Information Systems,
W4A,Conference on Web Accessibility,
WABI,Workshop on Algorithms in Bioinformatics,
WAC,Web Audio Conference,
WACV,Workshop on Applications of Computer Vision,
WADS,Algorithms and Data Structures Symposium,
WAFR,Workshop on the Algorithmic Foundations of Robotics,
WAIHCWS,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,
WALCOM,International Workshop on Algorithms and Computation,
WAlgProg,"Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação",
WAOA,Workshop on Approximation and Online Algorithms,
WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",
WASPAA,IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,
WASSA,"Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",
WAVE,Workshop on Advanced Virtual Environments and Education,
WBL,Workshop Brasileiro de Lógica,
WBMA,Workshop Brasileiro de Métodos Ágeis,
WCAMA,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,
WCAS,Workshop on Circuits and Systems Design,
WCBIE,Workshops do Congresso Brasileiro de Informática na Educação,
WCCE,IFIP World Conference on Computers in Education,
WCCI,IEEE World Congress on Computational Intelligence,
WCGE,Workshop de Computação Aplicada ao Governo Eletrônico,
WCGO,World Congress on Global Optimization,
WCISC,Workshop on Computational Intelligence and Smart Cities,
WCN,Workshop on Cloud Networks,
WCNC,IEEE Wireless Communications and Networking Conference,
WCNCW,IEEE Wireless Communications and Networking Conference Workshops,
WCNPS,Workshop on Communication Networks and Power Systems,
WCX,SAE World Congress Experience,
WD,Wireless Days Conference,
WDES,"Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems",
WEB3D,International Conference on 3D Web Technology,
Web4All,International Web for All Conference,
WEBDB,International Workshop on the Web and Databases,
WEBIST,International Conference on Web Information Systems and Technologies,
WEBMEDIA,Brazilian Symposium on Multimedia and the Web,
WEBSCI,ACM Web Science Conference,
WEI,Workshop sobre Educação em Computação,
WER,Workshop on Requirements Engineering,
WESB,Workshop de Engenharia de Software Baseada em Busca,
WETICE,IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises,
WF-IoT,IEEE World Forum on Internet of Things,
WFCS,IEEE World Conference on Factory Communication Systems,
WG,International Workshop on Graph-Theoretic Concepts in Computer Science,
WGRS,Workshop de Gerência e Operação de Redes e Serviços,
WHISPERS,Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,
WI-IAT,IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,
WICSA,Working IEEE/IFIP Conference on Software Architecture,
WIE,Workshop de Informática na Escola,
WIFS,IEEE Workshop on Information Forensics and Security,
WIM,Workshop de Informática Médica,
WIMOB,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",
WiOpt,"International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks",
WiPSCE,Workshop in Primary and Secondary Computing Education,
WISDOM,Workshop on Issues of Sentiment Discovery and Opinion Mining,
WISE,International Conference on Web Information Systems Engineering,
WiSec,ACM Conference on Security & Privacy in Wireless and Mobile Networks,
WISTP,International Conference on Information Security Theory and Practice,
WIT,Women in Information Technology,
WOCN,International Conference on Wireless and Optical Communications Networks,
WOLLIC,"International Workshop on Logic, Language, Information and Computation",
WOMoCoE,"International Workshop on Ontology Modularity, Contextuality, and Evolution",
WONS,Wireless On-demand Network systems and Services Conference,
WORKS,Workshop on Workflows in Support of Large-Scale Science,
WOSP,International Workshop on Mining Scientific Publications,
WOWMOM,"International Symposium on a World of Wireless, Mobile and Multimedia Networks",
WPEIF,Workshop de Pesquisa Experimental da Internet do Futuro,
WPerformance,Workshop em Desempenho de Sistemas Computacionais e de Comunicação,
WPES,Annual ACM workshop on Privacy in the electronic society,
WRLA,International Workshop on Rewriting Logic and its Applications,
WSC,Winter Simulation Conference,
WSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho,
WSCDC,Workshop de Segurança Cibernética em Dispositivos Conectados,
WSCG,International Conference in Central Europe on Computer Graphics and Visualization and Computer Vision,
WSDM,ACM Conference International Conference on Web Search and Data Mining,
WSL,Workshop de Software Livre,
WSOM,"International Workshop on Self-Organizing Maps and Learning Vector Quantization, Clustering and Data Visualization",
WTF,Workshop de Testes e Tolerância a Falhas,
WTranS,Workshop de Transparência de Sistema,
WVC,Workshop de Visão Computacional,
WWW,International World Wide Web Conferences,
XP,International Conference on Agile Software Development,
